Nom;Famille;Type;ID équipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Cage d'escalier;Opérationnel/HS;Validation
CLIM 1 BUREAU RH VESTIAIRE;;CLIMATISATION DETENTE DIRECTE;2F 316;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM GAUCHE TGBT EDEN;;CLIMATISATION DETENTE DIRECTE;EDR 0042;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
B -17-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 037;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;17;;;Opérationnel;Validé
CLIM YOGA N°1;;CLIMATISATION DETENTE DIRECTE;ER 463;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C2-17-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 106;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;17;;;Opérationnel;Validé
CLIM 10 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 080;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
CLIM réserve bar à champagne ;;CLIMATISATION DETENTE DIRECTE;EDR 0150;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM SALLE A MANGER ST ANNE ANNEXE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 024;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM 2 PLIEUSE BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 404;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C1-15-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 032;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;15;;;Opérationnel;Validé
CLIM CH 3 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 050;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM VESTIAIRES DAMES BAIN DE MER;;CLIMATISATION DETENTE DIRECTE;ER 805;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM RESTAURANT SALLE1;;CLIMATISATION DETENTE DIRECTE;EDR 0118;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Restaurant;;Opérationnel;Validé
C2-01-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 089;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;1;;;Opérationnel;Validé
CLIM VRV 3 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 070;;;1 er étage ;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
CLIM COULOIR ch 89 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 065;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 85 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 126;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 209;;CLIMATISATION DETENTE DIRECTE;2F 119;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 601;;CLIMATISATION DETENTE DIRECTE;EDR 0082;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C-02-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 208;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;;;;Opérationnel;Validé
CLIM CH 63 bain HDC;;CLIMATISATION DETENTE DIRECTE;HDC 119;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM SPA SUITE EDEN;;CLIMATISATION DETENTE DIRECTE;DIVERS 055;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 303;;CLIMATISATION DETENTE DIRECTE;2F 032;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 321;;CLIMATISATION DETENTE DIRECTE;2F 049;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM VESTIAIRES TENNIS;;CLIMATISATION DETENTE DIRECTE;DIVERS 011;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SERVICE BAIE INFO N+1;;CLIMATISATION DETENTE DIRECTE;ER 505;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 98 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 132;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C1-15-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 030;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;15;;;Opérationnel;Validé
CLIM CH 315;;CLIMATISATION DETENTE DIRECTE;2F 043;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
A-16 (7P);;CLIMATISATION DETENTE DIRECTE;Houston 023;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;16;;;Opérationnel;Validé
C1-29-5(3P);;CLIMATISATION DETENTE DIRECTE;Columbia 076;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;29;;;Opérationnel;Validé
CLIM BUREAU CONCIERGE;;CLIMATISATION DETENTE DIRECTE;HDC 510;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM salle reunion directeur HDC;;CLIMATISATION DETENTE DIRECTE;HDC 136;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV III GF 15 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 018;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM 07 OLGA -1 chambre de gauche ;;CLIMATISATION DETENTE DIRECTE;OLGA 011;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1/2-1(8P)HP_C1 1 3(1P)CP;;CLIMATISATION DETENTE DIRECTE;Houston 036;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;1;;;Opérationnel;Validé
C1-15-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 033;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;15;;;Opérationnel;Validé
CLIM CUISINE 01 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 037;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM reserve bagage client EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0116;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
A 20 (6P);;CLIMATISATION DETENTE DIRECTE;Europa 016;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;20;;;Opérationnel;Validé
CLIM ROOM SERVICE;;CLIMATISATION DETENTE DIRECTE;HDC 406;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 623;;CLIMATISATION DETENTE DIRECTE;EDR 0106;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
VRV GRILL et BAIN DE MER;;CLIMATISATION DETENTE DIRECTE;ER 801;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
SPLIT BILLET NIV 4.80;;CLIMATISATION DETENTE DIRECTE;SLII 429;;;;SLII ESA;Bâtiment Émeraude;53 Impasse des Lilas, 10791 Nice;NIV 4.80;;;Opérationnel;Validé
CLIM CH 7 HDC salom;;CLIMATISATION DETENTE DIRECTE;HDC 045;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
GROUPE CLIM GLACERIE;;CLIMATISATION DETENTE DIRECTE;ER 455;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM ATELIER FLEURISTE;;CLIMATISATION DETENTE DIRECTE;2F 302;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-00 int;;CLIMATISATION DETENTE DIRECTE;Europa 074;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;rdc;;;Opérationnel;Validé
GROUPE VRV OLGA;;CLIMATISATION DETENTE DIRECTE;OLGA 004;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM BUREAU directeur restaurant HDC;;CLIMATISATION DETENTE DIRECTE;HDC 074;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
B -16-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 035;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;16;;;Opérationnel;Validé
C2-22-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 118;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;22;;;Opérationnel;Validé
CLIM CH 641;;CLIMATISATION DETENTE DIRECTE;EDR 0143;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM CH 632;;CLIMATISATION DETENTE DIRECTE;EDR 0134;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C2-07-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 207;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;7;;;Opérationnel;Rejeté
CLIM  1BOULANGERIE;;CLIMATISATION DETENTE DIRECTE;EDR 0101;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM RESTAURANT SALLE5;;CLIMATISATION DETENTE DIRECTE;EDR 0122;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Restaurant;;Opérationnel;Validé
CLIM CH 66 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 102;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM BUREAU 3 HEDERA;;CLIMATISATION DETENTE DIRECTE;HEDERA_006;;;;HDCER;Bâtiment Les Horizons;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-13-5 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 024;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;13;;;Opérationnel;Validé
C1-17-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 038;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;17;;;Opérationnel;Validé
CLIM 1 REPASSERIE BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 407;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 25 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 086;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
VRV ESCALE;;CLIMATISATION DETENTE DIRECTE;EDR 204;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM1 CABANE POSTE DIANE;;CLIMATISATION DETENTE DIRECTE;DIVERS 007;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM VRV 5 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 072;;;2eme gauche chambre 213 à 228;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
CLIM BUANDERIE PERSONNEL N+2;;CLIMATISATION DETENTE DIRECTE;2F 126;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM reserve OFFICE 1er HDC;;CLIMATISATION DETENTE DIRECTE;HDC 059;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM BUREAU gouvernante EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0108;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 24 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 087;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM VRV 9 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 076;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
CLIM PATISSERIE N°1;;CLIMATISATION DETENTE DIRECTE;ER 628;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 228;;CLIMATISATION DETENTE DIRECTE;2F 237;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 646;;CLIMATISATION DETENTE DIRECTE;EDR 0149;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM CH 3 ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 003;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM PAYE 1 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 056;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie technique;;Opérationnel;Validé
CLIM FITNESS ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 008;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
MAISON CONCIERGE (2P);;CLIMATISATION DETENTE DIRECTE;Europa 044;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;rdc;;;Opérationnel;Validé
CLIM CH 88 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 124;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 221;;CLIMATISATION DETENTE DIRECTE;2F 230;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM ZONE AMBIANCE FEMME;;CLIMATISATION DETENTE DIRECTE;WCFC 0017;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
VRV 4;;CLIMATISATION DETENTE DIRECTE;WCFC 0042;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
A-5-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 008;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;4;;;Opérationnel;Validé
 VRV BUANDERIE 2FONT;;CLIMATISATION DETENTE DIRECTE;2F073;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
A-1/2-2 (4P);;CLIMATISATION DETENTE DIRECTE;Houston 004;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;1;;;Opérationnel;Validé
CLIM 2 BUREAU RH P1;;CLIMATISATION DETENTE DIRECTE;2F 313;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
LOCAL POSTE (1P);;CLIMATISATION DETENTE DIRECTE;Columbia 086;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;rdc;;;Opérationnel;Validé
CLIM CH FELIX;;CLIMATISATION DETENTE DIRECTE;FELIX 001;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
A-00-2 (2P);;CLIMATISATION DETENTE DIRECTE;Europa 002;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;rdc;;;Opérationnel;Validé
CLIM RECEPTION;;CLIMATISATION DETENTE DIRECTE;WCFC 0027;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
C1-27-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 067;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;27;;;Opérationnel;Validé
CLIM CH 9 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 056;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV III GF 13 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 016;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
VRV III GF 12 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 015;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
A-6-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 011;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;6;;;Opérationnel;Validé
VRV CHAUFF/CLIM EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0069;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
C1-03-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 005;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;3;;;Opérationnel;Validé
GROUPE VRV ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 002;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;Extérieur;;;Opérationnel;Validé
CLIM CH N°1;;CLIMATISATION DETENTE DIRECTE;FELIX 21;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM COULOIR en face ch 643 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0110;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C-8-1 (5P);;CLIMATISATION DETENTE DIRECTE;Houston 043;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;8;;;Opérationnel;Validé
GROUPE VRV 01 WELNESS;;CLIMATISATION DETENTE DIRECTE;DIVERS 020;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C1-17-5 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 039;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;17;;;Opérationnel;Validé
CLIM COULOIR HALL ascenseur EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0113;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV III GF 10 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 013;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM CH 308;;CLIMATISATION DETENTE DIRECTE;2F 037;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
B-8-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 027;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;8;;;Opérationnel;Validé
CLIM 2 BUREAU ACHAT;;CLIMATISATION DETENTE DIRECTE;2F 310;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM VRV 8 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 075;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
C-8-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 044;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;8;;;Opérationnel;Validé
CLIM 1 BUREAU ACHAT;;CLIMATISATION DETENTE DIRECTE;2F 309;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 222;;CLIMATISATION DETENTE DIRECTE;2F 231;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SALLE DE COURS 1;;CLIMATISATION DETENTE DIRECTE;WCFC 0031;;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM GROUPE annexe ST ANNE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 011;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM 0 EDEN;;CLIMATISATION DETENTE DIRECTE;EDR 0002;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Local sono restaurant;;Opérationnel;Validé
CLIM OFFICE RDJ;;CLIMATISATION DETENTE DIRECTE;HDC 410;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
C2-20-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 110;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;20;;;Opérationnel;Validé
CLIM COULOIR en face ch 642 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0151;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM BUREAU directrice HDC;;CLIMATISATION DETENTE DIRECTE;HDC 072;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
CLIM 1 CALANDRE BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 400;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIL RESERVE FLEURISTE;;CLIMATISATION DETENTE DIRECTE;2F 301;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV III GF 16 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 019;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM OFFICE N+3;;CLIMATISATION DETENTE DIRECTE;HDC 600;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 182;;CLIMATISATION DETENTE DIRECTE;2F 007;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
VRV GF A SALON DE COIFFURE;;CLIMATISATION DETENTE DIRECTE;EDR 0070;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM ESCALIER entresol EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0114;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM CH 215;;CLIMATISATION DETENTE DIRECTE;2F 206;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 17 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 046;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM N°2 BOULANGERIE;;CLIMATISATION DETENTE DIRECTE;ER 655;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
B-10-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 030;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;10;;;Opérationnel;Validé
C1-31-5 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 081;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;31;;;Opérationnel;Validé
CLIM CH 602;;CLIMATISATION DETENTE DIRECTE;EDR 0083;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-7-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 024;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;7;;;Opérationnel;Validé
CLIM LOCAL SERVEUR;;CLIMATISATION DETENTE DIRECTE;WCFC 0011;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM CH 3 ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 009;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-21-5 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 054;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;21;;;Opérationnel;Validé
A-15-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 012;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;15;;;Opérationnel;Validé
